date,value
2024-02-16T00:13:24Z,1
2024-02-17T00:13:35Z,1
2024-02-18T00:13:39Z,1
2024-02-19T00:13:35Z,1
2024-02-20T00:13:06Z,1
2024-02-21T00:13:13Z,1
2024-02-22T00:13:24Z,1
2024-02-23T00:13:29Z,1
2024-02-24T00:13:37Z,1
2024-02-25T00:13:23Z,1
2024-02-26T00:13:22Z,1
2024-02-27T00:13:19Z,1
2024-02-28T00:13:08Z,1
2024-02-29T00:13:09Z,1
2024-03-01T00:12:56Z,1
2024-03-03T00:13:47Z,1
2024-03-04T00:13:25Z,1
2024-03-05T00:13:10Z,1
2024-03-06T00:13:17Z,1
2024-03-07T00:13:16Z,1
2024-03-08T00:13:35Z,1
2024-03-09T00:13:28Z,1
2024-03-10T00:13:52Z,1
2024-03-11T00:14:56Z,1
2024-03-12T00:13:29Z,1
2024-03-13T00:13:53Z,1
2024-03-15T00:13:30Z,1
2024-03-17T00:13:24Z,1
2024-03-18T00:13:31Z,1
2024-03-19T00:13:34Z,1
2024-03-20T00:13:37Z,1
2024-03-21T00:13:11Z,1
2024-03-23T00:13:22Z,1
2024-03-24T00:13:17Z,1
2024-03-25T00:13:24Z,1
2024-03-26T00:13:03Z,1
2024-03-27T00:13:28Z,1
2024-03-28T00:13:07Z,1
2024-03-29T00:13:16Z,1
2024-03-30T00:13:29Z,1
2024-03-31T00:13:20Z,1
2024-04-01T00:13:31Z,1
2024-04-02T00:13:28Z,1
2024-04-03T00:13:15Z,1
